transaction_id,bank_record_id,ledger_record_ids,gateway_record_ids,pattern
0,BANK_0000,LEDG_0000,GW_0000,clean_1to1_match
1,BANK_0001,LEDG_0001,GW_0001,clean_1to1_match
2,BANK_0002,LEDG_0002,GW_0002,clean_1to1_match
3,BANK_0003,LEDG_0003,GW_0003,clean_1to1_match
4,BANK_0004,LEDG_0004,GW_0004,clean_1to1_match
5,BANK_0005,LEDG_0005,GW_0005,clean_1to1_match
6,BANK_0006,LEDG_0006,GW_0006,clean_1to1_match
7,BANK_0007,LEDG_0007,GW_0007,clean_1to1_match
8,BANK_0008,LEDG_0008,GW_0008,clean_1to1_match
9,BANK_0009,LEDG_0009,GW_0009,clean_1to1_match
10,BANK_0010,LEDG_0010,GW_0010,clean_1to1_match
11,BANK_0011,LEDG_0011,GW_0011,clean_1to1_match
12,BANK_0012,LEDG_0012,GW_0012,clean_1to1_match
13,BANK_0013,LEDG_0013,GW_0013,clean_1to1_match
14,BANK_0014,LEDG_0014,GW_0014,clean_1to1_match
15,BANK_0015,LEDG_0015,GW_0015,clean_1to1_match
16,BANK_0016,LEDG_0016,GW_0016,clean_1to1_match
17,BANK_0017,LEDG_0017,GW_0017,clean_1to1_match
18,BANK_0018,LEDG_0018,GW_0018,clean_1to1_match
19,BANK_0019,LEDG_0019,GW_0019,clean_1to1_match
20,BANK_0020,LEDG_0020,GW_0020,clean_1to1_match
21,BANK_0021,LEDG_0021,GW_0021,clean_1to1_match
22,BANK_0022,LEDG_0022,GW_0022,clean_1to1_match
23,BANK_0023,LEDG_0023,GW_0023,clean_1to1_match
24,BANK_0024,LEDG_0024,GW_0024,clean_1to1_match
25,BANK_0025,LEDG_0025,GW_0025,clean_1to1_match
26,BANK_0026,LEDG_0026,GW_0026,clean_1to1_match
27,BANK_0027,LEDG_0027,GW_0027,clean_1to1_match
28,BANK_0028,"LEDG_0028_0,LEDG_0028_1,LEDG_0028_2,LEDG_0028_3","GW_0028_0,GW_0028_1,GW_0028_2,GW_0028_3",many_to_one_settlement
29,BANK_0029,"LEDG_0029_0,LEDG_0029_1,LEDG_0029_2","GW_0029_0,GW_0029_1,GW_0029_2",many_to_one_settlement
30,BANK_0030,"LEDG_0030_0,LEDG_0030_1","GW_0030_0,GW_0030_1",many_to_one_settlement
31,BANK_0031,"LEDG_0031_0,LEDG_0031_1,LEDG_0031_2","GW_0031_0,GW_0031_1,GW_0031_2",many_to_one_settlement
32,BANK_0032,"LEDG_0032_0,LEDG_0032_1,LEDG_0032_2,LEDG_0032_3","GW_0032_0,GW_0032_1,GW_0032_2,GW_0032_3",many_to_one_settlement
33,BANK_0033,"LEDG_0033_0,LEDG_0033_1,LEDG_0033_2,LEDG_0033_3","GW_0033_0,GW_0033_1,GW_0033_2,GW_0033_3",many_to_one_settlement
34,BANK_0034,"LEDG_0034_0,LEDG_0034_1","GW_0034_0,GW_0034_1",many_to_one_settlement
35,BANK_0035,"LEDG_0035_0,LEDG_0035_1","GW_0035_0,GW_0035_1",many_to_one_settlement
36,BANK_0036,"LEDG_0036_0,LEDG_0036_1","GW_0036_0,GW_0036_1",many_to_one_settlement
37,BANK_0037,"LEDG_0037_0,LEDG_0037_1,LEDG_0037_2","GW_0037_0,GW_0037_1,GW_0037_2",many_to_one_settlement
38,BANK_0038,"LEDG_0038_0,LEDG_0038_1","GW_0038_0,GW_0038_1",many_to_one_settlement
39,BANK_0039,"LEDG_0039_0,LEDG_0039_1,LEDG_0039_2","GW_0039_0,GW_0039_1,GW_0039_2",many_to_one_settlement
40,BANK_0040,"LEDG_0040_0,LEDG_0040_1","GW_0040_0,GW_0040_1",many_to_one_settlement
41,BANK_0041,"LEDG_0041_0,LEDG_0041_1,LEDG_0041_2,LEDG_0041_3","GW_0041_0,GW_0041_1,GW_0041_2,GW_0041_3",many_to_one_settlement
42,BANK_0042,LEDG_0042,GW_0042,description_mismatch
43,BANK_0043,LEDG_0043,GW_0043,description_mismatch
44,BANK_0044,LEDG_0044,GW_0044,description_mismatch
45,BANK_0045,LEDG_0045,GW_0045,description_mismatch
46,BANK_0046,LEDG_0046,GW_0046,description_mismatch
47,BANK_0047,LEDG_0047,GW_0047,description_mismatch
48,BANK_0048,LEDG_0048,GW_0048,description_mismatch
49,BANK_0049,LEDG_0049,GW_0049,description_mismatch
50,BANK_0050,LEDG_0050,GW_0050,description_mismatch
51,BANK_0051,LEDG_0051,GW_0051,description_mismatch
52,BANK_0052,LEDG_0052,GW_0052,near_miss_amount_date
53,BANK_0053,LEDG_0053,GW_0053,near_miss_amount_date
54,BANK_0054,LEDG_0054,GW_0054,near_miss_amount_date
55,BANK_0055,LEDG_0055,GW_0055,near_miss_amount_date
56,BANK_0056,LEDG_0056,GW_0056,near_miss_amount_date
57,BANK_0057,LEDG_0057,GW_0057,near_miss_amount_date
58,BANK_0058,LEDG_0058,GW_0058,near_miss_amount_date
59,BANK_0059,LEDG_0059,GW_0059,near_miss_amount_date
60,BANK_0060,LEDG_0060,GW_0060,near_miss_amount_date
61,BANK_0061,LEDG_0061,GW_0061,near_miss_amount_date
62,BANK_0062,,,genuine_anomaly
63,,,GW_0063,genuine_anomaly
64,BANK_0064,,,genuine_anomaly
65,BANK_0065,,,genuine_anomaly
66,,LEDG_0066,,genuine_anomaly
67,,LEDG_0067,,genuine_anomaly
68,BANK_0068,,,genuine_anomaly
