record_id,date,amount,description,reference_number
LEDG_0000,2025-08-05,46905,Vendor payment 0,REF00000
LEDG_0001,2025-08-09,21049,Vendor payment 1,REF00001
LEDG_0002,2025-08-19,49348,Vendor payment 2,REF00002
LEDG_0003,2025-07-31,7082,Vendor payment 3,REF00003
LEDG_0004,2025-08-21,38118,Vendor payment 4,REF00004
LEDG_0005,2025-08-17,47590,Vendor payment 5,REF00005
LEDG_0006,2025-08-08,43618,Vendor payment 6,REF00006
LEDG_0007,2025-08-10,32696,Vendor payment 7,REF00007
LEDG_0008,2025-08-04,27059,Vendor payment 8,REF00008
LEDG_0009,2025-08-11,28526,Vendor payment 9,REF00009
LEDG_0010,2025-08-18,35108,Vendor payment 10,REF00010
LEDG_0011,2025-08-11,41178,Vendor payment 11,REF00011
LEDG_0012,2025-08-02,9558,Vendor payment 12,REF00012
LEDG_0013,2025-08-04,20256,Vendor payment 13,REF00013
LEDG_0014,2025-08-12,46660,Vendor payment 14,REF00014
LEDG_0015,2025-08-10,18730,Vendor payment 15,REF00015
LEDG_0016,2025-08-17,16215,Vendor payment 16,REF00016
LEDG_0017,2025-08-10,29867,Vendor payment 17,REF00017
LEDG_0018,2025-08-08,8665,Vendor payment 18,REF00018
LEDG_0019,2025-08-04,22546,Vendor payment 19,REF00019
LEDG_0020,2025-08-07,25622,Vendor payment 20,REF00020
LEDG_0021,2025-08-04,35071,Vendor payment 21,REF00021
LEDG_0022,2025-08-19,41789,Vendor payment 22,REF00022
LEDG_0023,2025-08-19,33077,Vendor payment 23,REF00023
LEDG_0024,2025-08-16,14065,Vendor payment 24,REF00024
LEDG_0025,2025-08-06,12185,Vendor payment 25,REF00025
LEDG_0026,2025-08-03,44086,Vendor payment 26,REF00026
LEDG_0027,2025-08-18,35674,Vendor payment 27,REF00027
LEDG_0028_0,2025-08-20,13808,Payment component 1 for batch 28,
LEDG_0028_1,2025-08-21,3876,Payment component 2 for batch 28,
LEDG_0028_2,2025-08-21,13169,Payment component 3 for batch 28,
LEDG_0028_3,2025-08-20,10797,Payment component 4 for batch 28,
LEDG_0029_0,2025-08-05,10201,Payment component 1 for batch 29,
LEDG_0029_1,2025-08-05,14483,Payment component 2 for batch 29,
LEDG_0029_2,2025-08-05,4927,Payment component 3 for batch 29,
LEDG_0030_0,2025-08-01,10837,Payment component 1 for batch 30,
LEDG_0030_1,2025-07-31,14757,Payment component 2 for batch 30,
LEDG_0031_0,2025-08-04,5923,Payment component 1 for batch 31,
LEDG_0031_1,2025-08-03,2949,Payment component 2 for batch 31,
LEDG_0031_2,2025-08-02,5946,Payment component 3 for batch 31,
LEDG_0032_0,2025-08-19,9787,Payment component 1 for batch 32,
LEDG_0032_1,2025-08-21,11007,Payment component 2 for batch 32,
LEDG_0032_2,2025-08-21,4705,Payment component 3 for batch 32,
LEDG_0032_3,2025-08-21,6342,Payment component 4 for batch 32,
LEDG_0033_0,2025-08-07,12647,Payment component 1 for batch 33,
LEDG_0033_1,2025-08-08,8118,Payment component 2 for batch 33,
LEDG_0033_2,2025-08-07,9177,Payment component 3 for batch 33,
LEDG_0033_3,2025-08-09,10479,Payment component 4 for batch 33,
LEDG_0034_0,2025-08-07,3163,Payment component 1 for batch 34,
LEDG_0034_1,2025-08-08,13597,Payment component 2 for batch 34,
LEDG_0035_0,2025-08-19,6562,Payment component 1 for batch 35,
LEDG_0035_1,2025-08-19,12960,Payment component 2 for batch 35,
LEDG_0036_0,2025-08-06,14855,Payment component 1 for batch 36,
LEDG_0036_1,2025-08-08,9749,Payment component 2 for batch 36,
LEDG_0037_0,2025-08-20,8735,Payment component 1 for batch 37,
LEDG_0037_1,2025-08-21,9651,Payment component 2 for batch 37,
LEDG_0037_2,2025-08-22,13945,Payment component 3 for batch 37,
LEDG_0038_0,2025-08-14,5116,Payment component 1 for batch 38,
LEDG_0038_1,2025-08-14,10786,Payment component 2 for batch 38,
LEDG_0039_0,2025-08-17,11016,Payment component 1 for batch 39,
LEDG_0039_1,2025-08-17,3604,Payment component 2 for batch 39,
LEDG_0039_2,2025-08-17,2828,Payment component 3 for batch 39,
LEDG_0040_0,2025-08-01,8570,Payment component 1 for batch 40,
LEDG_0040_1,2025-08-01,2960,Payment component 2 for batch 40,
LEDG_0041_0,2025-08-05,13968,Payment component 1 for batch 41,
LEDG_0041_1,2025-08-04,14834,Payment component 2 for batch 41,
LEDG_0041_2,2025-08-04,11105,Payment component 3 for batch 41,
LEDG_0041_3,2025-08-06,12844,Payment component 4 for batch 41,
LEDG_0042,2025-08-03,25552,Razorpay settlement batch #4042,
LEDG_0042_1,2025-08-03,25325,Logistics & Freight Handling Charges #2312,
LEDG_0043,2025-08-04,17178,Razorpay settlement batch #4043,
LEDG_0044,2025-08-02,43962,Razorpay settlement batch #4044,
LEDG_0045,2025-08-14,22407,Razorpay settlement batch #4045,
LEDG_0046,2025-08-19,35034,Razorpay settlement batch #4046,
LEDG_0046_1,2025-08-18,35038,Enterprise Cloud Infrastructure Hosting Invoice #6718,
LEDG_0047,2025-08-11,21009,Razorpay settlement batch #4047,
LEDG_0048,2025-08-19,48769,Razorpay settlement batch #4048,
LEDG_0048_1,2025-08-15,48539,SaaS Software License Renewal - Vendor #3546,
LEDG_0049,2025-08-21,23465,Razorpay settlement batch #4049,
LEDG_0049_1,2025-08-23,23552,Consulting & Professional Services Retainer #5325,
LEDG_0050,2025-08-08,37016,Razorpay settlement batch #4050,
LEDG_0051,2025-08-20,13573,Razorpay settlement batch #4051,
LEDG_0052,2025-08-05,9875,Entry 52,REF00052
LEDG_0053,2025-08-11,7595,Entry 53,REF00053
LEDG_0054,2025-08-04,45955,Entry 54,REF00054
LEDG_0055,2025-08-14,26832,Entry 55,REF00055
LEDG_0056,2025-08-07,19652,Entry 56,REF00056
LEDG_0057,2025-08-09,30977,Entry 57,REF00057
LEDG_0058,2025-08-09,39961,Entry 58,REF00058
LEDG_0059,2025-08-20,12065,Entry 59,REF00059
LEDG_0060,2025-08-05,42422,Entry 60,REF00060
LEDG_0061,2025-08-08,49036,Entry 61,REF00061
LEDG_0068,2025-08-19,33173,Orphan ledger entry 68,
